AdicionalDespacho;Dealer;smallint;0;2
AdicionalDespacho;DespachoNo;int;0;4
AdicionalDespacho;CodigoItem;char;0;20
AdicionalDespacho;Cantidad;decimal;0;9
AdicionalDespacho;PesoBruto;decimal;0;9
AExcel;Usuario;char;0;10
AExcel;Identidad;int;0;4
AExcel;A;char;0;50
AExcel;B;char;1;50
AExcel;C;char;1;50
AExcel;D;char;1;50
AExcel;E;char;1;50
AExcel;F;char;1;50
AExcel;G;char;1;50
AExcel;H;char;1;50
AExcel;I;char;1;50
AExcel;J;char;1;50
AExcel;K;char;1;50
AExcel;L;char;1;50
AExcel;M;char;1;50
AExcel;N;char;1;50
AExcel;O;char;1;50
AExcel;P;char;1;50
AExcel;Q;char;1;50
AExcel;R;char;1;50
AExcel;S;char;1;50
AExcel;T;char;1;50
AExcel;U;char;1;50
AExcel;V;char;1;50
AExcel;W;char;1;50
AExcel;X;char;1;50
AExcel;Y;char;1;50
AExcel;Z;char;1;50
AExcel;AA;char;1;50
AExcel;AB;char;1;50
AExcel;AC;char;1;50
AExcel;AD;char;1;50
AExcel;AE;char;1;50
AExcel;AF;char;1;50
AExcel;AG;char;1;50
AExcel;AH;char;1;50
AExcel;AI;char;1;50
AExcel;AJ;char;1;50
AExcel;AK;char;1;50
AExcel;AL;char;1;50
AExcel;AM;char;1;50
AExcel;AN;char;1;50
AExcel;AO;char;1;50
AExcel;AP;char;1;50
AExcel;AQ;char;1;50
AExcel;AR;char;1;50
AExcel;AS1;char;1;50
AExcel;AT;char;1;50
AExcel;AU;char;1;50
AExcel;AV;char;1;50
AExcel;AW;char;1;50
AExcel;AX;char;1;50
AExcel;AY;char;1;50
AExcel;AZ;char;1;50
AExcel;BA;char;1;50
AExcel;BB;char;1;50
AExcel;BC;char;1;50
AExcel;BD;char;1;50
AExcel;BE;char;1;50
AExcel;BF;char;1;50
AExcel;BG;char;1;50
AExcel;BH;char;1;50
AExcel;BI;char;1;50
AExcel;BJ;char;1;50
AExcel;BK;char;1;50
AExcel;BL;char;1;50
AExcel;BM;char;1;50
AExcel;BN;char;1;50
AExcelLibros;Usuario;char;0;10
AExcelLibros;Identidad;int;0;4
AExcelLibros;A;char;0;50
AExcelLibros;B;char;1;50
AExcelLibros;C;char;1;50
AExcelLibros;D;char;1;50
AExcelLibros;E;char;1;50
AExcelLibros;F;char;1;50
AExcelLibros;G;char;1;50
AExcelLibros;H;char;1;50
AExcelLibros;I;char;1;50
AExcelLibros;J;char;1;50
AExcelLibros;K;char;1;50
AExcelLibros;L;char;1;50
AExcelLibros;M;char;1;50
AExcelLibros;N;char;1;50
AExcelLibros;O;char;1;50
AExcelLibros;P;char;1;50
AExcelLibros;Q;char;1;50
AExcelLibros;R;char;1;50
AExcelLibros;S;char;1;50
AExcelLibros;T;char;1;50
AExcelLibros;U;char;1;50
AExcelLibros;V;char;1;50
AExcelLibros;W;char;1;50
AExcelLibros;X;char;1;50
AExcelLibros;Y;char;1;50
AExcelLibros;Z;char;1;50
AExcelLibros;AA;char;1;50
AExcelLibros;AB;char;1;50
AExcelLibros;AC;char;1;50
AExcelLibros;AD;char;1;50
AExcelLibros;AE;char;1;50
AExcelLibros;AF;char;1;50
AExcelLibros;AG;char;1;50
AExcelLibros;AH;char;1;50
AExcelLibros;AI;char;1;50
AExcelLibros;AJ;char;1;50
AExcelLibros;AK;char;1;50
AExcelLibros;AL;char;1;50
AExcelLibros;AM;char;1;50
AExcelLibros;AN;char;1;50
AExcelLibros;AO;char;1;50
AExcelLibros;AP;char;1;50
AExcelLibros;AQ;char;1;50
AExcelLibros;AR;char;1;50
AExcelLibros;AS1;char;1;50
AExcelLibros;AT;char;1;50
AExcelLibros;AU;char;1;50
AExcelLibros;AV;char;1;50
AExcelLibros;AW;char;1;50
AExcelLibros;AX;char;1;50
AExcelLibros;AY;char;1;50
AExcelLibros;AZ;char;1;50
AExcelLibros;BA;char;1;50
AExcelLibros;BB;char;1;50
AExcelLibros;BC;char;1;50
AExcelLibros;BD;char;1;50
AExcelLibros;BE;char;1;50
AExcelLibros;BF;char;1;50
AExcelLibros;BG;char;1;50
AExcelLibros;BH;char;1;50
AExcelLibros;BI;char;1;50
AExcelLibros;BJ;char;1;50
AExcelLibros;BK;char;1;50
AExcelLibros;BL;char;1;50
AExcelLibros;BM;char;1;50
AExcelLibros;BN;char;1;50
AfiliacionIVA;CodPais;char;0;3
AfiliacionIVA;Codigo;char;0;10
AfiliacionIVA;Descripcion;char;0;60
Afiliado;CodPais;char;0;3
Afiliado;Dealer;int;0;4
Afiliado;Empleado;char;0;16
Afiliado;Afiliado;char;0;12
Afiliado;Ap1Afiliado;char;0;20
Afiliado;Ap2Afiliado;char;0;20
Afiliado;ApcAfiliado;char;0;20
Afiliado;No1Afiliado;char;0;20
Afiliado;No2Afiliado;char;0;20
Afiliado;EstadoAfiliado;char;0;1
Afiliado;CodigoDocumentoIde;char;0;3
Afiliado;NdiAfiliado;char;0;20
Afiliado;TipoAfiliado;char;0;1
Afiliado;CodigoAdministrador;char;0;10
Afiliado;EntAfiliado;datetime;0;8
Afiliado;SalAfiliado;datetime;0;8
Afiliado;MotAfiliado;char;0;1
Afiliado;TvaAfiliado;char;0;1
Afiliado;TveAfiliado;char;0;1
Afiliado;CvaAfiliado;float;0;8
Afiliado;CveAfiliado;float;0;8
Afiliado;PvaAfiliado;smallint;0;2
Afiliado;PveAfiliado;smallint;0;2
Afiliado;SueAfiliado;float;0;8
Afiliado;DiaAfiliado;smallint;0;2
Afiliado;HoraAfiliado;smallint;0;2
Afiliado;CoeAfiliado;char;0;1
Afiliado;Codigo;char;0;4
AFP;CodPais;char;0;3
AFP;Dealer;int;0;4
AFP;Codigo;smallint;0;2
AFP;Nombre;char;1;30
AFP;PorcentajeLaboral;real;1;4
AFP;PorcentajePatronal;real;1;4
AFP;CuentaContable;char;1;15
AFP;CodigoSuperior;char;1;4
AFP;TopeMaximo;decimal;1;9
AFP;CodigoProveedor;char;1;10
AfpEdicion;CodPais;char;0;3
AfpEdicion;Dealer;int;0;4
AfpEdicion;NumPatronal;char;0;9
AfpEdicion;Periodo;char;0;6
AfpEdicion;CentroTrabajo;char;0;3
AfpEdicion;Empleado;int;0;4
AfpEdicion;NoAfiliacion;char;0;25
AfpEdicion;Nombre;char;0;75
AfpEdicion;Salario;float;0;8
AfpEdicion;PagoAdicional;float;0;8
AfpEdicion;MontoVacacion;float;0;8
AfpEdicion;Dias;smallint;0;2
AfpEdicion;Horas;smallint;0;2
AfpEdicion;DiasVacacion;smallint;0;2
AfpEdicion;CodAfp;char;0;10
AfpEdicion;Pag;int;0;4
AfpEdicion;Identidad;int;0;4
AfpEdicion;FechaRetiro;datetime;0;8
Agenda;CodPais;char;0;3
Agenda;Dealer;smallint;0;2
Agenda;Fecha;datetime;0;8
