AaumSal;CodPais
AaumSal;Dealer
AaumSal;Empleado
AaumSal;TipoAumento
AaumSal;Autorizacion
AaumSal;SalarioAnterior
AaumSal;NuevoSalario
AaumSal;Fecha
AbonoCuenta;CodPais
AbonoCuenta;Dealer
AbonoCuenta;Tda
AbonoCuenta;SerieDoc
AbonoCuenta;TipoDoc
AbonoCuenta;DocNo
AbonoCuenta;CorrID
AbonoImportacion;CodPais
AbonoImportacion;Dealer
AbonoImportacion;ImportacionNo
AbonoImportacion;id
AbonoProveedor;CodPais
AbonoProveedor;Dealer
AbonoProveedor;Tda
AbonoProveedor;Proveedor
AbonoProveedor;SerieDoc
AbonoProveedor;TipoDoc
AbonoProveedor;DocNo
AbonoProveedor;Fecha
AbonoProveedor;Valor
AbonoProveedor;Partida
AbonoProveedor;Cheque
AccionPersonal;CodPais
AccionPersonal;Dealer
AccionPersonal;Empleado
AccionPersonal;Fecha
AccionPersonal;Tipo
ActividadEconomica;CodPais
ActividadEconomica;Codigo
ActivoFijo;CodPais
ActivoFijo;Dealer
ActivoFijo;Ubicacion
ActivoFijo;Codigo
ActivSoc;CodPais
ActivSoc;Dealer
ActivSoc;Codigo
ActivSoc;Fecha
ActPrecioAv;CodPais
ActPrecioAv;Dealer
ActPrecioAv;TipoCliente
ActPrecioAv;Sublinea
AdicionalDespacho;Codpais
AdicionalDespacho;Dealer
AdicionalDespacho;DespachoNo
AdicionalDespacho;CodigoItem
AExcel;Usuario
AExcel;Identidad
AExcelLibros;Usuario
AExcelLibros;Identidad
AfiliacionIVA;CodPais
AfiliacionIVA;Codigo
Afiliado;CodPais
Afiliado;Dealer
Afiliado;Empleado
Afiliado;Afiliado
AFP;CodPais
AFP;Dealer
AFP;Codigo
AfpEdicion;CodPais
AfpEdicion;Dealer
AfpEdicion;NumPatronal
AfpEdicion;Periodo
AfpEdicion;CentroTrabajo
AfpEdicion;Empleado
Agenda;CodPais
Agenda;Dealer
Agenda;Fecha
Agenda;Vendedor
Agenda;Hora_Inicial
AgrupacionCuenta;CodPais
AgrupacionCuenta;Dealer
AgrupacionCuenta;Grupo
AgrupacionCuenta;Descripcion
AgrupacionCuenta;CuentaContable
AgrupacionPlaca;CodPais
AgrupacionPlaca;Dealer
AgrupacionPlaca;Grupo
AgrupacionPlaca;CCosto
AgrupacionPlaca;Descripcion
Aguinaldo;CodPais
Aguinaldo;Dealer
Aguinaldo;DesdeAnyo
Aguinaldo;HastaAnyo
AjusteLote;Codpais
AjusteLote;Dealer
AjusteLote;Lote
AjusteLote;Codigo
AjusteLote;Bodega
AjusteLote;Vapor
AjusteLote;IngresoEgreso
AjusteLote;Fecha
ALUMNOS;CodPais
ALUMNOS;Dealer
ALUMNOS;Codigo
AnexoCompra;ID
AnexoConsumidorFinal;ID
AnexoContribuyente;ID
AnexoLista;CodPais
AnexoLista;TipoAnexo
AnexoLista;Campo
AnexoLista;No
AniosElectivos;CodPais
AniosElectivos;Dealer
AniosElectivos;Codigo
Anticipo;CodPais
Anticipo;Dealer
Anticipo;Codigo
Anticipo;Fecha
AnticipoCafe;CodPais
AnticipoCafe;Dealer
AnticipoCafe;idCosecha
AnticipoCafe;idAnticipoCafe
AnticipoImp;CodPais
AnticipoImp;Dealer
AnticipoImp;Tipo
AnticipoImp;Cuenta
AnticipoImp;Fecha
AnticipoImp;Serie
AnticipoImp;Cheque
AnticipoImp;Proveedor
AnticipoImp;Documento
AnticipoVenta;CodPais
AnticipoVenta;Dealer
AnticipoVenta;Tda
AnticipoVenta;IdAnticipo
AnulacionChqs;CodPais
AnulacionChqs;Dealer
AnulacionChqs;Tda
AnulacionChqs;Cuenta
AnulacionChqs;Serie
AnulacionChqs;ChequeNo
AnulacionFactura;CodPais
AnulacionFactura;Dealer
AnulacionFactura;Tda
AnulacionFactura;Serie
AnulacionFactura;TipoDoc
AnulacionFactura;DocNo
AnulaReciboCafe;CodPais
AnulaReciboCafe;Dealer
AnulaReciboCafe;idCosecha
AnulaReciboCafe;idReciboCafe
Aprobacion;CodPais
Aprobacion;Dealer
Aprobacion;Tda
Aprobacion;Tipo
Aprobacion;Correlativo
Aprobacion;LineaNo
AprobadorPrecio;CodPais
